,HeatNo,ScrapWt,TapWeight,EAF_Yield,Oxygen_SCF,CH4,modCarbon,SAProfile,O2_SCFperTon,Ladle_Temp,HeatsOnLadle,Preheater,Crew,Grade,Tap_Temp,Recarb
90,29675,60.1335,53.9,89.6338979104,50410,15731,819,35,838.3014459494292,1949,55,South,Team 3    ,A100BPF   ,3036.0,459
91,29676,60.295,53.9,89.393813749,49186,15600,773,35,815.7558669873124,1995,21,Middle,Team 3    ,A100BPF   ,3057.0,420
92,29677,60.1635,53.8,89.4229890215,47715,15694,480,35,793.0888329302651,1924,45,North,Team 3    ,A100BPF   ,3068.0,384
93,29678,60.0885,53.6,89.2017607362,49106,15575,444,35,817.2279221481648,1982,65,South,Team 3    ,A100BPF   ,3066.0,300
94,29679,54.083,55.8,103.1747499214,49994,15469,602,28,924.3939870199508,1991,56,Middle,Team 3    ,A100X     ,3030.0,1032
95,29680,65.301,51.9,79.4781090641,63480,17383,1369,34,972.1137501722791,1828,46,South,Team 1    ,4600V     ,2998.0,833
96,29681,65.262,53.9,82.5901749869,55879,18477,938,34,856.2256749716527,2004,66,Middle,Team 2    ,4600APF   ,2999.0,630
97,29682,56.1175,52.2,93.0191116853,44690,14722,802,28,796.3647703479306,1977,22,North,Team 2    ,4600APF   ,3018.0,1073
98,29683,65.3335,54.0,82.6528503753,49879,16213,889,35,763.4521340506784,1654,47,North,Team 2    ,50HP      ,2984.0,402
99,29684,64.2335,53.8,83.756918119,49713,16458,841,35,773.9419461807312,1665,57,South,Team 2    ,50HP      ,3026.0,487
100,29685,54.2775,52.7,97.093639169,41633,13707,709,28,767.0397494357699,1783,30,North,Team 2    ,50HP      ,2996.0,796
101,29686,66.195,53.9,81.4260895838,57501,17330,886,35,868.6607749830049,1978,67,South,Team 2    ,A100      ,3047.0,504
102,29687,64.3135,54.0,83.9637090191,62819,17908,972,35,976.7622660872133,1980,22,South,Team 3    ,A100      ,3045.0,985
103,29688,51.2005,54.5,106.4442730051,46285,13636,828,28,903.9950781730647,1856,58,North,Team 3    ,A100      ,3005.0,500
104,29689,66.33,54.1,81.561887532,56096,20399,565,35,845.7108397406905,1998,48,Middle,Team 3    ,A100B     ,3017.0,400
105,29690,64.177,54.2,84.453932094,55948,18128,937,35,871.7764931361702,1976,68,South,Team 3    ,A100B     ,2996.0,639
106,29691,60.224,54.1,89.831296493,48501,16491,870,35,805.3433846971308,2004,23,Middle,Team 3    ,A100B     ,3013.0,404
107,29692,64.29,54.8,85.2387618603,56957,17340,1103,34,885.9387151967645,1970,69,North,Team 1    ,A100B     ,3019.0,1106
108,29693,60.345,53.9,89.3197448007,51526,15618,969,35,853.8569889800315,2030,24,Middle,Team 1    ,A100BPF   ,2993.0,525
109,29694,60.2165,54.4,90.3406873531,53952,15707,964,35,895.9670522199065,1980,24,South,Team 1    ,A100BPF   ,3083.0,600
110,29695,60.1235,53.3,88.6508603125,46341,15145,896,28,770.7635117716035,1981,30,Middle,Team 2    ,A100BPF   ,3000.0,383
111,29696,60.0425,53.3,88.7704542615,48973,14858,849,35,815.6389224299455,1981,59,North,Team 2    ,A100BPF   ,3000.0,497
112,29697,60.098,53.7,89.3540550434,50559,15340,818,35,841.2759160038604,1977,70,South,Team 2    ,A100BPF   ,3034.0,384
113,29698,60.0245,53.5,89.1302718056,50216,15254,788,35,836.5917250456064,1977,31,South,Team 2    ,A100BPF   ,3031.0,477
114,29699,60.3575,53.5,88.6385287661,50285,15536,759,35,833.1193306548482,1920,50,Middle,Team 2    ,A100BPF   ,3030.0,386
115,29700,60.235,54.0,89.6488752386,50321,15780,674,35,835.4113057192662,1583,71,Middle,Team 2    ,A100BPF   ,3068.0,719
116,29701,60.3,53.8,89.2205638474,50199,15272,786,35,832.4875621890548,1979,32,North,Team 2    ,A100BPF   ,3046.0,415
117,29702,60.3525,53.7,88.9772586056,47090,15665,866,35,780.2493682946025,2004,25,North,Team 2    ,A100BPF   ,3089.0,280
118,29703,60.201,53.9,89.5333964552,46615,15383,832,35,774.3226856696732,1966,71,Middle,Team 3    ,A100BPF   ,3014.0,614
119,29704,60.3055,54.2,89.8757161452,53976,16630,1033,35,895.0427407118754,1559,32,North,Team 3    ,30HP      ,3066.0,499
120,29705,60.175,53.9,89.5720814291,49908,16361,1038,35,829.3809721645202,1971,60,South,Team 3    ,30HP      ,3049.0,530
121,29706,51.0835,53.9,105.5135219787,46381,14040,743,28,907.9448354165239,1920,51,Middle,Team 3    ,30HP      ,3005.0,941
122,29707,57.481,51.0,88.72496999,50126,15514,917,28,872.0446756319479,2001,26,North,Team 3    ,A100      ,3019.0,919
123,29708,62.128,50.7,81.6057172289,54998,14611,1180,34,885.2369302086016,1996,26,North,Team 3    ,A100      ,2984.0,2286
124,29709,64.1415,53.9,84.032958381,54034,18156,896,35,842.4187148725865,1970,52,South,Team 3    ,A100BPF   ,3069.0,271
125,29710,64.0065,54.1,84.5226656667,53692,17594,671,35,838.8523040628686,2006,33,Middle,Team 3    ,A100BPF   ,3088.0,506
126,29711,60.1355,53.8,89.4646257202,50728,16130,842,35,843.5616233339708,1847,27,North,Team 3    ,A100BPF   ,3030.0,612
127,29712,60.193,54.0,89.7114282391,50518,15612,853,35,839.2670244048312,2011,53,Middle,Team 1    ,A100BPF   ,3002.0,523
128,29713,65.0245,55.7,85.6600204538,51393,17057,805,35,790.363632169413,1976,1,South,Team 1    ,A100BPF   ,3012.0,406
129,29714,60.2085,53.6,89.0239750201,47289,15690,831,35,785.420663195396,1697,34,Middle,Team 1    ,A100BPF   ,2997.0,401
130,29715,60.354,53.8,89.1407363223,48536,15836,845,28,804.1886204725454,1976,28,South,Team 1    ,A100BPF   ,2987.0,380
131,29716,54.2485,51.3,94.5648266772,46172,14681,886,28,851.1203074739394,2010,54,Middle,Team 1    ,A100BPF   ,3016.0,872
132,29717,64.735,53.3,82.3356762184,59968,15525,1053,34,926.3613192245308,1967,61,North,Team 2    ,85HP      ,3023.0,1014
133,29718,64.5675,53.6,83.0139001819,51788,17250,975,35,802.0753475045495,1727,35,North,Team 2    ,85HP      ,2991.0,419
134,29719,62.6395,54.7,87.3250903982,52629,16424,978,35,840.1886988242244,1977,2,South,Team 2    ,85HP      ,3070.0,715
135,29720,60.6785,54.3,89.4880394208,52880,16257,942,28,871.4783654836557,1966,55,North,Team 3    ,85HP      ,3022.0,597
136,29721,64.6825,52.9,81.784099254,54192,16905,1050,35,837.8154833223823,1950,29,Middle,Team 3    ,85HP      ,2979.0,637
