,HeatNo,Current1,Current2,Current3,Voltage1,Voltage2,Voltage3,MVATot,MWTot,MVARTot,PFTot,ZFeedback1,ZFeedback2,ZFeedback3,RWI1,RWI2,RWI3,NeutralCurrent,NeutralVolts,PrimaryVolts,VoltageLineToLine12,VoltageLineToLine23,VoltageLineToLine31,PhasorAngleV1I1,PhasorAngleV1I2,PhasorAngleV1I3,PhasorAngleV1V2,PhasorAngleV1V3,CurrentLoadPercent1,ActReaTap_Px3,ActualCHRG_PX3,ChargeWt1Tons,ChargeWt2Tons,ChargeWt3Tons,Ontime_PX3,OffTime_PX3,MWH_PX3,RegOut1,RegOut2,RegOut3,ChargeNumber,CIcounter1,CIcounter2,CIcounter3,SF1,SF2,SF3,MeanSF1,MeanSF2,MeanSF3,MeanCurrent1,MeanCurrent2,MeanCurrent3,MeanVoltage1,MeanVoltage2,MeanVoltage3,MeanTotMVA,MeanTotMW,MeanTotMVAR,MeanTotPF,I2H1,I2H2,I2H3,HeatRWI1,HeatRWI2,HeatRWI3,TransformerTap,HeatMWHPLC,ChargeNumb,PwrOnTime,TapTapTime,Ph1Pressure,Ph2Pressure,Ph3Pressure,PanelTemp1A,PanelTemp2A,PanelTemp2B,PanelTemp3A,PanelTemp3AEast,PanelTemp3C,PanelTemp4A,PanelTemp4C,PanelTemp5D1,PanelTemp5D2,PanelTemp6A,PanelTemp6C,PanelTemp7A,PanelTemp7E,PanelTemp8A,PanelTemp8B,PanelTemp9A,TempSumpN,TempSumpS,RoofInlet,RoofOutlet,CarbInject,HeatWt,OperKwhPerTon,HeatAvgMW,HeatI2HperMWH,HeatAvgI2H,ValidTempSample,ValidPPMSample,ValidCarbonSample,Charge_Carb,TotScrapWt,B1_GasCns,B1_O2MainCns,B1_CarbonCns,B2_GasCns,B2_O2MainCns,B2_CarbonCns,B3_GasCns,B3_O2MainCns,B3_LimeCns,TotalGasCns,TotalO2Cns,TotalCarbonCns,AdditionsCarbCharg,AdditionsLimeInj,AdditionsCarbInj,NCCcounter1,NCCcounter2,NCCcounter3,TotalCurrent,TempSumpNAvg,TempSumpNMax,TempSumpSAvg,TempSumpSMax,MWH1,ScrapWt,TapWeight,EAF_Yield,Oxygen_SCF,CH4,modCarbon,SAProfile,O2_SCFperTon,Ladle_Temp,HeatsOnLadle,Preheater,Crew,Grade,Tap_Temp,Recarb,EAF_Lime,Add_A,Add_B,Add_C,Add_A_cum,Add_B_cum,Add_C_cum,Bundles,Bush,Frag,PitScrap,Remelt,Skull,#1 HMS                        ,#2 Busheling                  ,150HP Remelt                  ,30-50-85HP Remelt             ,4600 Parts                    ,4600B Remelt                  ,737SH Remelt                  ,A200 Parts                    ,A200 Remelt                   ,B Scrap                       ,Carbon Pellets                ,Copper Bundles                ,Cu Skulls                     ,Factory Bundles               ,Home Scrap                    ,Ladle Carbon                  ,Moly                          ,Moly Skulls                   ,Ni Skulls                     ,Nickel                        ,P/S                           ,Pond Iron                     ,SI Sand                       ,Solumet Moly Skulls           ,Solumet Ni/Mo Skulls          ,Solumet Pig Iron              ,Solumet Pit Scrap             ,Turnings                      ,OTemp,Oxy,C_OxLab,C_L1,S_L1,P_L1,Si_L1,Cr_L1,Ni_L1,Cu_L1,Mn_L1,Mo_L1,Al_L1,Ca_L1,Zn_L1,Sn_L1,C_LF,S_LF,P_LF,Si_LF,Cr_LF,Ni_LF,Cu_LF,Mn_LF,Mo_LF,Al_LF,Ca_LF,Zn_LF,Sn_LF,MgO (%),Al2O3 (%),SiO2 (%),P2O5 (%),S (%),CaO (%),TiO2 (%),Cr2O3 (%),MnO (%),FeO (%),Sum (%),V-Ratio,B3-Ratio,Lime_Yield,CaO_Provided_Lbs,Slag_Mass_Lbs,Fe_Lbs_Loss_in_Slag,MgO_Lbs_Refr_Loss,LimePerTon,Al2O3_SiO2,MeanSF,Iavg,O2perTon,SlagLbs_TapLbs_Ratio,Cr_Partition,Cr_Part_FeO,Group
0,30801,33.255426827743904,34.20458841463417,32.66838414634146,251.55380604796864,255.88404588112857,269.6577685088616,25.179708029197087,21.25757038581857,13.312940562043782,0.8931121989572468,12.47621948780488,11.78092984908537,13.109161560975606,1142.0853658536585,1277.717987804878,1308.2118902439024,0.1298852971845674,216.39489051094785,13.957393292682909,431.1687174139704,433.6233576642315,435.6735140771621,1.8562877997914504,18.166704900938488,9.867507820646525,16.292471324296127,8.237789362877992,6159.44629822732,4.0,3.0,26.9,22.9,10.3,43.5,19.5,23.4,2868.9079889205573,3157.477061008228,3348.9378261018533,2.1366006256517207,6.0,6.0,2.0,422.75391032325336,409.73514077163713,416.68091762252345,158.1189024390244,138.8018292682927,151.6951219512195,22.715683003128262,23.270959332638093,22.274984357664245,251.6029197080313,256.83972888425666,270.3348279457787,25.139864442127152,21.24642335766424,13.250250258602716,0.8936207492179352,860.0,887.0,816.0,361.0,404.0,447.0,6.0,23.4,3.0,43.5,63.0,13209.1157455683,12827.22732012513,13395.475495307612,71.13555787278415,70.65067778936393,67.58706986444213,70.75912408759125,74.64129301355578,64.68925964546402,76.99270072992701,77.18561001042752,70.36079249217936,72.1094890510949,83.61522419186653,76.19290928050052,75.42857142857143,71.1230448383733,69.45151199165798,66.92075078206464,69.68717413972888,66.97288842544317,73.59019812304484,61.16684045881127,68.7007299270073,453.0,60.1,389.3511,32.27586,36.50997,854.3333,3009.0,790.3,0.82,792.0,47.57768508863316,5965.29,19120.33,429.4849,5756.983,18859.07,398.4038,4666.792,10382.07,3773.0,16389.07,48361.47,967.379684045875,792.0,3773.0,1280.889,0.0,0.0,6.0,68.51122001981301,66.97288842544317,79.0,73.59019812304484,84.0,8.7,60.045,53.9,89.7660088267,48361,16389,828,35.0,805.4126072112582,0,46,Atomize,Team 2    ,A100B     ,3009.0,453,3774,0.0,0.0,0.0,0.0,0.0,0.0,0,91014,0,6453,4921,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,16578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,1124.0,2939.0,1003.0,0.047,0.358,0.008,0.005,0.003,0.035,0.08,0.072,0.101,0.063,0.004,0.00064,0.003,0.008,0.421,0.007,0.004,0.003,0.036,0.078,0.072,0.096,0.062,0.003,0.00018,0.002,0.008,,,,,,,,,,,,,,,,,,,62.85286035473395,,149.53861788617886,33.376133129573184,805.4204346739945,,,,B_C
1,30802,33.49478939157562,33.8103432121685,32.720187207488294,252.6768191268208,261.7959459459477,268.2287941787925,24.926091476091468,21.04214137214136,13.199968813929305,0.8948445936590451,13.73834629173164,13.190202773790958,13.043712917316697,1089.9219968798752,1329.634945397816,1437.4929797191887,0.1152079002079009,222.8083160083152,13.952964118564749,434.25727650727424,435.9531185031174,437.45841995841846,1.8039604989604987,17.584667359667378,9.71575883575884,16.12175675675677,8.154781702702696,6130.555093555094,4.0,2.0,32.4,27.7,0.0,42.4,24.1,23.5,3552.932198486173,2974.8781826667,3365.182947040684,1.6257796257796258,18.0,15.0,1.0,433.7536382536383,432.1891891891892,430.95218295218297,154.2386895475819,144.6489859594384,149.81591263650546,22.611569646569617,22.977983367983185,22.09230769230765,252.9790020800432,259.811122661124,272.0385654885664,25.219771308731787,21.301133056133047,13.340977129937643,0.895503117359668,886.0,901.0,825.0,370.0,409.0,454.0,7.0,23.5,2.0,42.4,66.5,13137.012474012474,12684.71101871102,13294.68503118503,77.14137214137214,77.02286902286902,73.89397089397089,78.58108108108108,80.93970893970894,71.9054054054054,83.07380457380458,83.5904365904366,78.6029106029106,81.06964656964657,96.4074844074844,87.35031185031185,81.38565488565489,78.45738045738045,75.43347193347194,73.13201663201663,77.46465696465697,73.23908523908524,76.0987525987526,67.5,74.06340956340956,693.0,60.1,391.015,33.25471,37.04964,870.6667,2987.0,687.8,0.78,633.0,49.26320166320084,6423.3,20219.58,364.4968,6267.202,20124.46,281.1431,4300.715,9483.799,3720.0,16991.22,49827.84,800.6708147609156,633.0,3720.0,1338.64,1.0,3.0,0.0,66.65624740020793,73.23908523908524,82.0,76.0987525987526,85.0,7.8,60.1645,53.8,89.4215027133,49828,16991,646,28.0,828.1960292198888,1682,59,Middle,Team 2    ,A100B     ,2987.0,693,3721,0.0,0.0,0.0,0.0,0.0,0.0,0,92401,0,6287,4548,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,16085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,1008.0,2891.0,1191.6,0.035,0.291,0.006,0.004,0.003,0.025,0.036,0.067,0.078,0.059,0.006,0.0001,0.003,0.007,0.443,0.007,0.005,0.005,0.029,0.037,0.065,0.082,0.062,0.006,0.001,0.002,0.007,,,,,,,,,,,,,,,,,,,61.84710252723782,,149.56786271450858,33.341773270410805,828.1933698443435,,,,B_C
2,30803,32.570240963855404,33.75567771084333,32.18121987951806,177.15139813582027,177.25512649800388,185.05672436750905,16.129853528628495,13.581231691078552,8.579300930758984,0.9300723693741676,16.07748487801204,12.693298155120496,13.72245480421686,890.9111445783133,1336.2183734939758,1268.1852409638554,0.0740545938748341,155.85472703062513,13.914503012048186,298.24760319573755,300.6027296937405,302.8410785619168,1.2636484687083898,11.797316910785622,6.392070572569904,11.153149134487332,5.598735018641809,3954.5339547270314,4.0,2.0,31.1,28.9,0.0,43.2,56.3,23.6,4405.40190911125,3859.076710018308,3817.577099339621,1.4427430093209055,60.0,22.0,3.0,636.3249001331558,621.3328894806924,623.9174434087882,181.96987951807228,150.8960843373494,157.8237951807229,14.677822902130496,15.007150466045196,14.313062582556594,174.89573901464834,177.94047936085312,184.4228362183758,16.24181757656458,13.652736350865522,8.663069239680429,0.929506789014647,920.0,920.0,831.0,344.0,438.0,453.0,7.0,23.6,2.0,43.2,99.5,12988.513315579228,13037.953395472705,13853.444074567244,72.65046604527296,72.94607190412783,70.27296937416777,73.83422103861518,74.34753661784288,66.77962716378163,75.98735019973368,79.3635153129161,74.05525965379493,73.81424766977364,81.67310252996005,77.7589880159787,76.12183754993342,73.71038615179761,71.52330226364847,69.26498002663116,72.60119840213049,69.4960053262317,72.62782956058588,65.67909454061251,70.28828229027962,812.0,60.0,393.3333,32.77778,37.72599,890.3333,2974.0,599.2,0.8,551.0,43.69087882822876,6345.721,19133.76,330.5903,6144.158,18925.52,268.428,3767.876,8193.385,3723.0,16257.76,46252.66,695.7701603861622,551.0,3723.0,1411.018,15.0,23.0,0.0,43.55560585885485,69.4960053262317,83.0,72.62782956058588,83.0,8.099999,59.9675,53.5,89.2149914537,46253,16258,599,28.0,771.3011214407804,1990,27,Middle,Team 2    ,A100B     ,2974.0,812,3725,0.0,0.0,0.0,0.0,0.0,0.0,0,91537,0,6411,5042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,0.0,0.0,15819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,1126.0,3080.0,1690.6,0.04,0.41,0.008,0.005,0.003,0.035,0.028,0.068,0.111,0.038,0.005,0.0007,0.002,0.008,0.477,0.007,0.005,0.004,0.038,0.029,0.068,0.123,0.037,0.005,0.002,0.002,0.008,,,,,,,,,,,,,,,,,,,62.116980030850044,,163.5632530120482,32.835712851405596,771.2954517030058,,,,B_C
145,30804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0965,49.3,76.9152761851,67384,18237,992,34.0,1051.289852020001,1983,1,South,Team 3    ,A100      ,2974.0,5271,3500,1.0,0.0,0.0,1.0,0.0,0.0,10831,2645,29324,4345,0,0,28904.0,18203.0,0.0,0.0,0.0,8010.0,0.0,0.0,0.0,0.0,0.0,12529.0,0.0,0.0,4711.0,250.0,0.0,0.0,0.0,0.0,0.0,3898.0,0.0,0.0,0.0,0.0,0.0,4793.0,2997.0,1633.1,0.034,0.515,0.014,0.007,0.003,0.074,0.102,0.197,0.224,0.092,0.005,0.002,0.003,0.008,0.586,0.013,0.007,0.002,0.076,0.102,0.176,0.229,0.084,0.003,0.002,0.003,0.008,7.43,5.27,6.78,0.345,0.053,22.52,0.319,0.929,4.47,49.75,97.87,3.32,1.87,3360.0,2419.2,10742.451154529308,3741.0586145648313,-76.83587921847254,54.60516564867036,12.05,,,,10.894980886946561,12.554054054054056,0.2523427950563629,A100      
3,30805,33.47702997138961,33.92948228882833,32.28175749182562,268.06733266733386,276.6158841158852,288.1340659340647,26.6025974015984,22.781418581418578,13.502727271728263,0.8943751227772223,12.44331059945504,12.167779242506825,13.931948196185276,1121.265667574932,1235.9182561307905,1178.348773841962,0.1138961038961047,219.28071928071856,13.885912806539524,463.0217782217765,467.6305694305672,468.1797202797183,2.010179819180816,19.348071928071946,10.558521477522469,17.626123876123884,8.936893104895093,6651.288711288711,4.0,3.0,31.5,24.6,8.400001,48.6,17.4,26.0,3291.7957942300363,3671.2215334576263,4047.094617769545,2.168831168831169,15.0,7.0,7.0,367.72227772227774,362.3706293706294,372.6363636363636,138.275204359673,128.16621253405995,144.43732970027247,24.296323676323656,24.66842157742256,23.53669330569429,267.9149850149859,275.7440559440568,288.8335664335668,26.377412587412586,22.573966033966023,13.400379620379615,0.894251646153846,963.0,983.0,902.0,408.0,462.0,482.0,6.0,26.0,3.0,48.6,66.0,12891.27072927073,12542.06993006993,12874.489510489511,82.14085914085913,79.75524475524476,73.03896103896103,75.29270729270729,79.15484515484515,66.83716283716284,81.93306693306694,81.64135864135864,74.04995004995006,77.71028971028971,82.56343656343657,78.7992007992008,84.71128871128872,78.07392607392607,81.58441558441558,72.7982017982018,79.73926073926074,74.35064935064935,91.75524475524476,65.84915084915085,74.7002997002997,371.0,64.5,403.1008,32.09876,36.51282,949.3333,3070.0,863.4,0.56,311.0,51.89090909090898,6477.257,22250.03,454.9148,6264.043,22062.98,419.5957,4005.954,9129.884,0.0,16747.25,53442.89,574.797363636365,311.0,0.0,1245.51,0.0,0.0,0.0,73.09908091708289,74.35064935064935,87.0,91.75524475524476,132.0,8.0,64.456,53.1,82.3817798187,53443,16747,875,35.0,829.1392577882586,1943,60,South,Team 3    ,A100X     ,3070.0,371,3500,0.0,0.0,0.0,1.0,0.0,0.0,0,4357,52081,4154,0,0,28962.0,7546.0,0.0,0.0,0.0,10339.0,0.0,0.0,0.0,0.0,513.0,9683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4240.0,0.0,0.0,0.0,0.0,0.0,7550.0,2946.0,863.4,0.056,0.571,0.022,0.009,0.003,0.082,0.128,0.307,0.127,0.069,0.006,0.002,0.002,0.008,0.581,0.02,0.009,0.002,0.081,0.128,0.238,0.219,0.068,0.004,0.00065,0.002,0.008,,,,,,,,,,,,,,,,,,,54.300608166811465,,136.9595821980018,33.22942325068119,829.1375511977162,,,,A100X     
4,30806,29.923346772849463,32.36404569758068,32.27548386962363,294.0289738430599,269.55201207243584,290.9120724346064,25.809074446680103,22.0596378269618,13.185814888329974,0.8905865178068414,16.482432775537628,12.161975763440877,13.54020159946236,546.252688172043,1094.3212365591398,1369.5443548387098,0.1171026156941657,236.5177062374237,13.904986559139791,474.6207243460748,473.0389336016079,485.15543259557126,1.8440342052313865,20.028370221327968,10.694416498993954,18.111086519114718,8.877706228370213,6073.463782696177,4.0,3.0,31.5,24.0,5.0,49.2,30.2,25.0,2685.568118599515,3210.176748235153,4109.348290963373,2.2686116700201207,2.0,1.0,8.0,371.32293762575455,351.784708249497,351.9567404426559,159.2459677419355,128.7486559139785,140.33333333333334,22.378863178068396,24.35072434506037,23.87243460661972,293.49104627766707,269.72303822937744,294.03138833098586,25.78657947585513,22.02141851006035,13.197857139839044,0.8899924528169018,813.0,924.0,899.0,427.0,391.0,493.0,6.0,25.0,3.0,49.2,79.4,12183.734406438633,13298.493963782696,13551.354124748492,81.21227364185111,78.46780684104628,73.47183098591549,75.13883299798793,77.67806841046277,65.95271629778672,79.9486921529175,81.67706237424547,74.07042253521126,76.38531187122736,80.45271629778672,78.14788732394366,83.83802816901408,78.72132796780684,82.49295774647888,73.03521126760563,79.0513078470825,74.96277665995976,89.5553319919517,67.68712273641852,75.14889336016097,655.0,60.5,413.2231,30.4878,35.14667,878.6667,3003.0,771.6,0.63,301.0,51.12273641851107,6631.379,21708.5,432.3103,6414.076,21623.17,371.561,4755.125,10653.74,3778.0,17800.58,53985.4,527.8855628772602,301.0,3778.0,1458.871,155.0,0.0,0.0,70.78163983601605,74.96277665995976,87.0,89.5553319919517,121.0,7.7,60.4505,52.6,87.0133414942,53985,17801,804,35.0,893.0447225415836,2011,47,Middle,Team 3    ,A100X     ,3055.0,655,3780,0.0,1.0,1.0,1.0,1.0,1.0,0,0,48865,3952,0,0,28516.0,7412.0,0.0,0.0,0.0,11422.0,0.0,0.0,0.0,0.0,516.0,9167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4337.0,0.0,0.0,0.0,0.0,0.0,7230.0,2946.0,1178.7,0.041,0.45,0.02,0.007,0.0009,0.066,0.091,0.238,0.1,0.069,0.004,0.0001,0.003,0.009,0.572,0.019,0.007,0.002,0.071,0.092,0.238,0.247,0.071,0.003,0.002,0.003,0.009,,,,,,,,,,,,,,,,,,,62.53050016128899,,142.77598566308245,31.520958780017924,893.0513395257277,,,,A100X     
5,30807,32.70049698795182,33.53826807228917,32.09171686746986,272.52979683973,277.5635440180601,296.728555304739,26.939198645598225,22.959841986455977,13.782054174943562,0.8894388252821676,12.970798155120486,12.099849359939755,13.64170178162652,1037.3177710843374,1196.6219879518071,1443.8810240963855,0.1162076749435671,224.30620767494267,13.900843373493986,470.5441309255066,474.4128668171541,477.4527088036101,1.970609480812644,19.799401805869078,10.78503386004514,17.773329571106082,8.971162522573369,6653.854401805869,4.0,3.0,28.4,22.9,8.8,44.1,14.1,23.4,4094.9887934457374,3427.41247622139,4130.226498744023,2.204288939051919,11.0,2.0,4.0,357.1805869074492,345.02031602708803,349.9683972911964,142.99548192771084,127.77861445783132,137.8222891566265,24.7088939040632,25.17450338600456,24.06544017945823,272.10440180587005,278.4051918735905,297.7019187358927,27.084029345372485,23.10437923250567,13.817652367945808,0.8900132036117379,864.0,878.0,806.0,363.0,403.0,466.0,6.0,23.4,3.0,44.1,58.2,12655.106094808129,13352.89841986456,13499.672686230248,78.47742663656885,75.99661399548533,71.30699774266365,72.83182844243792,74.83182844243792,63.646726862302486,78.47291196388262,79.81151241534988,71.88148984198645,76.22686230248307,79.28103837471784,76.50338600451467,82.01467268623024,76.22234762979684,79.63544018058691,70.97178329571106,75.40067720090293,73.00564334085779,86.36907449209933,66.21783295711062,72.70541760722348,488.0,60.1,389.3511,31.83673,36.2963,849.3333,3055.0,1530.3,0.46,525.0,48.77990970654538,6073.925,21107.96,541.0945,5916.893,20922.96,469.0425,4601.133,10389.89,3719.0,16591.95,52420.8,780.539182844243,525.0,3719.0,1498.137,0.0,0.0,0.0,73.69417607223484,73.00564334085779,87.0,86.36907449209933,107.0,8.0,60.105,53.1,88.3453955577,52421,16592,1010,35.0,872.1570584809916,1975,28,North,Team 1    ,A100BPF   ,,488,3723,0.0,0.0,0.0,1.0,1.0,1.0,0,55122,25164,5992,0,0,3258.0,0.0,0.0,0.0,0.0,4087.0,0.0,0.0,0.0,1413.0,516.0,12182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4824.0,4639.0,0.0,0.0,0.0,0.0,0.0,3529.0,3094.0,1530.3,0.046,0.528,0.015,0.007,0.002,0.065,0.062,0.146,0.125,0.049,0.005,0.001,0.002,0.006,0.551,0.015,0.007,0.002,0.066,0.062,0.144,0.125,0.049,0.004,0.001,0.002,0.006,,,,,,,,,,,,,,,,,,,61.94160219615673,,136.1987951807229,32.77682730923695,872.1537309708012,,,,BPF_AMH
6,30808,32.832739520958064,33.38377245508988,32.26115269461079,269.12210184182214,268.8513542795255,288.5069339111572,26.57815817984833,22.811386781148435,13.442231852654375,0.8966426846153841,12.636871221556888,11.62371254491018,13.02335327544912,1030.7425149700598,1275.244011976048,1478.7709580838325,0.1152654387865659,217.08147345612048,13.88494011976049,459.4914409534104,461.4288190682533,464.5085590465846,1.8370422535211268,19.0933369447454,10.348515709642454,17.19504875406286,8.63069338461539,6483.983748645721,4.0,3.0,30.1,27.9,6.0,44.4,16.3,24.2,2687.361209552589,2993.250529006304,3334.5033778253114,2.2242686890574213,0.0,3.0,0.0,372.9869989165764,363.5525460455038,365.8894907908992,133.53892215568862,120.97604790419162,127.02844311377244,23.880097508125697,24.34951245828819,23.429068254604537,268.43748645720706,269.7652221018438,287.6750812567713,26.660465872156017,22.8626002145179,13.513174430119172,0.8964308757313104,846.0,875.0,806.0,391.0,412.0,478.0,6.0,24.2,3.0,44.4,60.7,12638.887323943662,13293.518959913326,13522.202600216684,77.97399783315277,75.99349945828818,71.46045503791983,72.9068255687974,75.31744312026002,63.52871072589382,78.15276273022752,79.74106175514626,71.89599133261105,75.0899241603467,82.23185265438786,76.93066088840737,80.91440953412784,75.58179848320694,79.602383531961,70.9783315276273,74.64355362946912,72.42470205850488,80.66305525460454,65.3228602383532,72.88949079089925,547.0,64.0,378.125,32.7027,34.80716,842.3333,3015.0,895.6,0.7,635.0,52.68840736728067,6131.204,20794.09,333.416,5992.053,20728.4,247.2363,4523.082,10263.47,3920.0,16646.34,51785.97,872.9893551462618,635.0,3920.0,1127.652,0.0,0.0,0.0,71.27244853737822,72.42470205850488,87.0,80.66305525460454,92.0,8.9,64.025,52.4,81.8430300663,51786,16646,581,35.0,808.8402967590785,2072,2,Middle,Team 1    ,A100BPF   ,3015.0,547,3920,0.0,0.0,0.0,1.0,1.0,1.0,0,61457,26213,6001,0,0,3331.0,0.0,0.0,0.0,0.0,4105.0,0.0,0.0,0.0,1089.0,467.0,12910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4608.0,4714.0,0.0,0.0,0.0,0.0,0.0,3622.0,3073.0,1032.2,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64,5.0,7.88,0.39,0.057,27.81,0.348,1.578,6.42,38.52,98.65,3.53,2.16,3763.2,2709.504,9742.912621359224,2627.078959223301,56.645902912621295,61.226083561108936,12.879999999999999,127.18113772455088,32.82588822355291,808.8398281921123,9.296672348625213,,,BPF_AMH
7,30809,33.07182748391816,33.55200292251458,32.64119883040933,274.9557032115193,278.75393133997966,299.30509413067364,27.61394241417496,23.678427464008827,14.00799556921372,0.8922097438538216,12.220029197368426,11.882953188596474,12.93380115497077,1099.8786549707602,1217.1973684210527,1474.8362573099416,0.116899224806202,219.92879291251293,13.834795321637412,475.6464008859329,476.2285714285692,481.4748615725338,1.944064230343301,19.94230343300112,10.895581395348842,17.916301218161685,9.074518267995575,6808.976744186047,4.0,3.0,31.1,27.6,5.2,45.4,16.3,24.5,2903.9292772623508,3397.5685627550374,3580.1322295181308,2.242524916943521,2.0,4.0,1.0,341.1683277962348,334.8017718715393,339.09634551495014,128.41666666666666,116.9327485380117,127.60526315789474,24.87105204872648,25.49754152713179,24.56746400885936,276.7784053156164,276.7588039878204,300.56157253599315,27.543720930232556,23.66682170542637,13.907386489479515,0.8929029881506091,860.0,900.0,834.0,395.0,400.0,487.0,6.0,24.5,3.0,45.4,61.7,12601.473975636767,13235.905869324471,13359.76965669989,77.28571428571429,75.30897009966777,71.10188261351053,72.53599114064231,74.16611295681064,62.91583610188261,76.64451827242524,79.3156146179402,71.60243632336656,74.67441860465117,87.74307862679956,77.74640088593577,82.1328903654485,74.74418604651163,80.17386489479513,70.67552602436324,74.27574750830564,71.84163898117386,80.18715393133998,65.11738648947951,72.5204872646733,1018.0,63.9,383.4116,32.37885,35.29252,864.6667,2973.0,1121.9,0.54,562.0,53.598117386490415,6141.173,20163.52,388.5142,5986.612,20053.67,309.3982,4567.354,10403.97,3935.0,16695.14,50621.16,923.8136382059812,562.0,3935.0,1715.912,0.0,0.0,0.0,75.19331118272437,71.84163898117386,85.0,80.18715393133998,92.0,8.4,64.0135,53.5,83.576120662,50621,16695,698,35.0,790.7863185109392,1998,48,Middle,Team 1    ,A100BPF   ,3020.0,1018,3933,0.0,0.0,0.0,1.0,1.0,1.0,3349,62821,26015,6023,0,0,3078.0,0.0,0.0,0.0,0.0,4027.0,0.0,0.0,0.0,959.0,338.0,9350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4841.0,3975.0,0.0,0.0,0.0,0.0,0.0,3589.0,3037.0,1446.8,0.043,0.383,0.012,0.004,0.002,0.047,0.064,0.126,0.101,0.07,0.004,0.00062,0.005,0.005,0.512,0.011,0.004,0.003,0.046,0.063,0.124,0.126,0.07,0.005,0.001,0.004,0.005,,,,,,,,,,,,,,,,,,,61.44016496520266,,124.31822612085769,33.08834307894736,790.7888179837067,,,,BPF_AMH
8,30810,33.73810897435898,34.193365384615376,32.76006410256408,290.09987341772324,294.7287341772168,315.6553164556946,29.631772151898737,25.459012656962045,14.961202531645563,0.8881956946835439,11.791698685897437,11.527179437499994,13.170993567307692,1235.4038461538462,1327.599358974359,1512.9711538461538,0.1268354430379753,234.0132911392394,13.810384615384644,500.7367088607575,503.36164556961904,507.8758227848083,2.0572784810126583,20.82708860759493,11.346683544303788,18.69073417721519,9.48865822278482,7344.696202531645,4.0,2.0,31.9,28.2,0.0,41.5,12.4,23.0,2943.7182548972355,2805.662592998548,3525.3536640674674,1.640506329113924,4.0,4.0,1.0,314.2126582278481,303.72911392405064,311.7873417721519,136.0352564102564,117.42307692307692,130.49358974358975,26.51974683417708,27.07081012531645,25.94156962025316,292.79303797468503,293.23506329114093,317.0489873417731,29.65205063037976,25.49794936708859,14.936354430379746,0.8890211368354434,818.0,843.0,784.0,373.0,394.0,458.0,7.0,23.0,2.0,41.5,53.9,12558.02658227848,13132.049367088608,13188.16329113924,77.99367088607595,76.61139240506328,72.3139240506329,74.06582278481012,76.42405063291139,64.13037974683544,78.81518987341772,80.77848101265823,73.01012658227847,76.54556962025316,89.04430379746836,78.66075949367088,84.13164556962025,75.9746835443038,80.82784810126583,71.95189873417722,75.09620253164557,73.07594936708861,79.00126582278482,65.93544303797468,73.89493670886075,406.0,60.1,382.6955,33.25301,35.43478,815.0,3020.0,1329.3,0.51,520.0,49.8239240506322,5920.422,19745.81,387.1013,5820.468,19635.34,330.5901,4209.038,8993.183,3732.0,15949.93,48374.34,825.5876870886046,520.0,3732.0,1123.691,0.0,0.0,0.0,79.53891139240504,73.07594936708861,87.0,79.00126582278482,88.0,9.5,60.0245,53.4,88.9636731667,48374,15950,718,28.0,805.9042557622304,1966,61,North,Team 1    ,A100BPF   ,3004.0,406,3732,0.0,0.0,0.0,1.0,1.0,1.0,13577,52366,26598,6160,0,0,3441.0,0.0,0.0,0.0,0.0,4302.0,0.0,0.0,0.0,1424.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4727.0,4019.0,0.0,0.0,0.0,0.0,0.0,3435.0,3079.0,1329.3,0.051,0.469,0.013,0.005,0.001,0.054,0.076,0.134,0.112,0.062,0.005,0.0001,0.003,0.006,0.542,0.012,0.005,0.00081,0.056,0.075,0.132,0.108,0.063,0.006,0.0001,0.003,0.006,,,,,,,,,,,,,,,,,,,62.174612033419685,,127.98397435897436,33.56384615384615,805.9099201159526,,,,BPF_AMH
